path,layer,role,authority,status,notes
.gitignore,L0-infra,repo hygiene,hand-authored,canonical,Ignore rules for runtime/build noise.
.pre-commit-config.yaml,L1-tools,dev-tooling contract,hand-authored,canonical,Tooling/lint automation on top of repo substrate.
AGENTS.md,L2-agents,agent-facing repo policy,hand-authored,canonical,Instruction surface for agent behavior in repo.
CHANGELOG.md,L3-assembly,release/change artifact,hand-authored,derived-facing,Assembly/release history for distributed unit.
CLAUDE.md,L2-agents,assistant/operator instruction surface,hand-authored,canonical,Agent-facing operating contract.
CONTRIBUTING.md,L2-workflows,contribution workflow doc,hand-authored,canonical,Workflow rules for changing the unit.
LICENSE,L0-infra,legal/root contract,hand-authored,canonical,Base legal substrate.
MISSION.md,L3-assembly,product intent artifact,hand-authored,canonical,Public framing of assembled unit.
README.md,L3-assembly,public entrypoint artifact,hand-authored,canonical,Assembled public interface to the repo.
ROADMAP.md,L3-assembly,forward assembly plan,hand-authored,canonical,Future output/release direction.
pyproject.toml,L0-infra,package/build/runtime contract,hand-authored,canonical,"Root package identity, scripts, deps."
uv.lock,L0-infra,dependency lock substrate,generated,derived,Deterministic dependency substrate.
.agents/plugins/marketplace.json,L1-mcp-servers,plugin distribution manifest,hand-authored,canonical,Marketplace-facing server/plugin declaration.
.claude-plugin/.mcp.json,L1-mcp-servers,MCP launch manifest,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/plugin.json,L1-mcp-servers,plugin manifest,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/marketplace.json,L1-mcp-servers,plugin marketplace listing,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/README.md,L2-workflows,plugin install workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/commands/help.md,L2-workflows,command/help workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/commands/init.md,L2-workflows,init workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/commands/mine.md,L2-workflows,mine workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/commands/search.md,L2-workflows,search workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/commands/status.md,L2-workflows,status workflow doc,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/hooks/hooks.json,L1-mcp-servers,hook manifest,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/hooks/mempal-precompact-hook.sh,L1-mcp-servers,precompact hook adapter,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/hooks/mempal-stop-hook.sh,L1-mcp-servers,stop hook adapter,hand-authored,canonical,Claude-facing integration/projection surface.
.claude-plugin/skills/mempalace/SKILL.md,L2-agents,agent skill surface,hand-authored,canonical,Claude-facing integration/projection surface.
.codex-plugin/plugin.json,L1-mcp-servers,plugin manifest,hand-authored,canonical,Codex-facing integration/projection surface.
.codex-plugin/hooks.json,L1-mcp-servers,hook registry manifest,hand-authored,canonical,Codex-facing integration/projection surface.
.codex-plugin/README.md,L2-workflows,plugin install workflow doc,hand-authored,canonical,Codex-facing integration/projection surface.
.codex-plugin/hooks/mempal-hook.sh,L1-mcp-servers,hook adapter,hand-authored,canonical,Codex-facing integration/projection surface.
.codex-plugin/skills/help,L2-agents,agent skill directory,hand-authored,canonical,Codex-facing integration/projection surface.
